timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1437802505,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437812617,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437822718,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437832821,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437842917,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437853016,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437863112,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437873283,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437883414,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437893511,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437903608,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437913708,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437923818,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437933929,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437944036,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437954144,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437964276,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437974434,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437984535,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437994649,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438004750,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438014849,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438024950,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438035060,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438045163,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438055282,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438065392,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438075498,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438085605,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438095697,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438105803,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438115903,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438125997,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438136092,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438146203,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438156370,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438166474,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438176584,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438186664,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438196766,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438206880,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438216985,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438227088,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438237215,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438247382,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438257481,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438267579,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438277681,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438287774,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438297875,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438307973,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438318091,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438328241,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438338403,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438348542,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438358644,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438368735,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438378838,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438388934,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438399038,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438409139,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438419256,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438429368,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438439460,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1438449565,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
