timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1437398148,1437397273,-0.013,0.00188165,1.14199e-05,0.08,0.0,0.0,0.0,-1.0
1437402255,1437401015,-0.0134442,0.00189349,-6.76699e-05,0.08,0.0,0.0,0.0,-1.0
1437405178,1437404181,-0.0128857,0.00220412,-1.41532e-05,0.08,0.0,0.0,0.0,-1.0
1437409249,1437408171,-0.013512,0.00154782,-3.91754e-06,0.08,0.0,0.0,0.0,-1.0
1437412286,1437411094,-0.0130905,0.00219101,-2.08313e-05,0.08,0.0,0.0,0.0,-1.0
1437416122,1437415186,-0.0134829,0.00251582,-4.08447e-05,0.08,0.0,0.0,0.0,-1.0
1437419147,1437418112,-0.0127807,0.00211823,2.02148e-05,0.08,0.0,0.0,0.0,-1.0
1437423171,1437422169,-0.0136522,0.0028052,1.0414e-05,0.08,0.0,0.0,0.0,-1.0
1437426189,1437425145,-0.0128367,0.00194018,-1.66674e-05,0.08,0.0,0.0,0.0,-1.0
1437429259,1437428141,-0.0134095,0.00280046,-5.70042e-05,0.08,0.0,0.0,0.0,-1.0
1437433231,1437432055,-0.0128588,0.00182327,-2.77367e-05,0.08,0.0,0.0,0.0,-1.0
1437436181,1437435141,-0.0131742,0.00244592,-1.16583e-05,0.08,0.0,0.0,0.0,-1.0
1437440122,1437439263,-0.0129382,0.00234754,-5.49183e-05,0.08,0.0,0.0,0.0,-1.0
1437444182,1437443099,-0.0133807,0.00283087,-2.37144e-05,0.08,0.0,0.0,0.0,-1.0
1437447195,1437446088,-0.0130395,0.00157938,-2.92728e-05,0.08,0.0,0.0,0.0,-1.0
1437451201,1437450068,-0.0132746,0.00251751,-3.95048e-05,0.08,0.0,0.0,0.0,-1.0
1437454197,1437453082,-0.0131449,0.00181621,-7.97936e-05,0.08,0.0,0.0,0.0,-1.0
1437458182,1437457092,-0.0132339,0.0026882,-8.4862e-05,0.08,0.0,0.0,0.0,-1.0
1437461225,1437460182,-0.0130579,0.00200201,-4.03638e-05,0.08,0.0,0.0,0.0,-1.0
1437465198,1437464142,-0.0135169,0.0024199,-7.57375e-05,0.08,0.0,0.0,0.0,-1.0
1437468268,1437467182,-0.0131585,0.00190808,2.92777e-06,0.08,0.0,0.0,0.0,-1.0
1437471222,1437470099,-0.0130918,0.00251861,-3.70369e-05,0.08,0.0,0.0,0.0,-1.0
1437475297,1437474139,-0.0128326,0.00255423,-1.05251e-05,0.08,0.0,0.0,0.0,-1.0
1437479135,1437478236,-0.0133746,0.00199842,-6.36586e-05,0.08,0.0,0.0,0.0,-1.0
1437482175,1437481244,-0.0131459,0.00201111,-3.72861e-06,0.08,0.0,0.0,0.0,-1.0
1437486180,1437485104,-0.0130669,0.00228096,-7.8032e-06,0.08,0.0,0.0,0.0,-1.0
1437487357,1437486085,-0.0133854,0.002624,-1.83358e-05,0.08,0.0,0.0,0.0,-1.0
1437493120,1437492348,-0.0131185,0.00211581,-1.39193e-05,0.08,0.0,0.0,0.0,-1.0
1437496202,1437495137,-0.013061,0.00224621,1.42011e-05,0.08,0.0,0.0,0.0,-1.0
1437500201,1437499175,-0.0131727,0.00211467,-2.67195e-05,0.08,0.0,0.0,0.0,-1.0
1437501188,1437500111,-0.0133648,0.00227581,-1.18146e-05,0.08,0.0,0.0,0.0,-1.0
1437507273,1437506084,-0.0132122,0.00259207,-2.73321e-05,0.08,0.0,0.0,0.0,-1.0
1437510230,1437509108,-0.0134395,0.00250308,2.38679e-06,0.08,0.0,0.0,0.0,-1.0
1437513224,1437512141,-0.0126292,0.00219791,4.79224e-06,0.08,0.0,0.0,0.0,-1.0
1437517243,1437516074,-0.0131715,0.00178227,1.64377e-05,0.08,0.0,0.0,0.0,-1.0
1437521188,1437520104,-0.0132489,0.00275065,2.04287e-05,0.08,0.0,0.0,0.0,-1.0
1437524377,1437523080,-0.0130228,0.00206513,2.02218e-05,0.08,0.0,0.0,0.0,-1.0
1437528185,1437527054,-0.0129113,0.00240755,-2.14784e-05,0.08,0.0,0.0,0.0,-1.0
1437531305,1437530146,-0.013125,0.00248625,-1.22759e-05,0.08,0.0,0.0,0.0,-1.0
1437535275,1437534165,-0.0132364,0.002553,-3.91246e-05,0.08,0.0,0.0,0.0,-1.0
1437538165,1437537176,-0.0134613,0.00170656,-2.62675e-05,0.08,0.0,0.0,0.0,-1.0
1437542211,1437541133,-0.01288,0.00245673,-6.59245e-05,0.08,0.0,0.0,0.0,-1.0
1437545251,1437544020,-0.0130594,0.00220472,6.88814e-06,0.08,0.0,0.0,0.0,-1.0
1437548262,1437547131,-0.0133161,0.00213715,1.00945e-05,0.08,0.0,0.0,0.0,-1.0
1437552151,1437551127,-0.0129023,0.00215844,-3.67146e-05,0.08,0.0,0.0,0.0,-1.0
1437556222,1437555156,-0.0131503,0.00279022,-1.16708e-05,0.08,0.0,0.0,0.0,-1.0
1437559226,1437558288,-0.0132517,0.00248193,-2.52941e-05,0.08,0.0,0.0,0.0,-1.0
1437563282,1437562137,-0.0128933,0.00211658,1.09939e-05,0.08,0.0,0.0,0.0,-1.0
1437566134,1437565248,-0.01333,0.00234104,-4.35223e-05,0.08,0.0,0.0,0.0,-1.0
1437570226,1437569107,-0.0126484,0.00179286,1.09327e-05,0.08,0.0,0.0,0.0,-1.0
1437573214,1437572117,-0.0133006,0.00222424,-1.62933e-05,0.08,0.0,0.0,0.0,-1.0
1437577238,1437576188,-0.0128545,0.00262068,-5.26992e-05,0.08,0.0,0.0,0.0,-1.0
1437580308,1437579124,-0.0130352,0.00242569,-4.66938e-05,0.08,0.0,0.0,0.0,-1.0
1437584279,1437583100,-0.0126639,0.0026903,-3.53056e-05,0.08,0.0,0.0,0.0,-1.0
1437587118,1437586223,-0.0129609,0.00270834,-2.91346e-05,0.08,0.0,0.0,0.0,-1.0
1437589256,1437588171,-0.0128457,0.00201771,-1.70523e-05,0.08,0.0,0.0,0.0,-1.0
1437594319,1437593097,-0.0136422,0.0023365,-2.91489e-05,0.08,0.0,0.0,0.0,-1.0
1437598268,1437597163,-0.0126328,0.00277502,1.22325e-05,0.08,0.0,0.0,0.0,-1.0
1437601150,1437600118,-0.0132462,0.00224028,-2.41512e-05,0.08,0.0,0.0,0.0,-1.0
1437605481,1437604139,-0.0129879,0.00208029,-1.29353e-06,0.08,0.0,0.0,0.0,-1.0
1437608131,1437607177,-0.0130657,0.00249717,-2.07371e-05,0.08,0.0,0.0,0.0,-1.0
1437612187,1437611192,-0.0126735,0.00155282,-1.75287e-05,0.08,0.0,0.0,0.0,-1.0
1437615320,1437614070,-0.0132689,0.00274349,-4.67553e-05,0.08,0.0,0.0,0.0,-1.0
1437618184,1437617102,-0.0128826,0.00295977,-1.52393e-05,0.08,0.0,0.0,0.0,-1.0
1437622328,1437621122,-0.0128912,0.00231873,-1.38683e-05,0.08,0.0,0.0,0.0,-1.0
1437626251,1437625082,-0.0127536,0.00146372,-3.20547e-05,0.08,0.0,0.0,0.0,-1.0
1437629248,1437628030,-0.013265,0.00251364,-1.80663e-05,0.08,0.0,0.0,0.0,-1.0
1437633168,1437632226,-0.0124862,0.00197545,-3.83312e-05,0.08,0.0,0.0,0.0,-1.0
1437636219,1437635146,-0.0134393,0.00212235,-2.11553e-05,0.08,0.0,0.0,0.0,-1.0
1437640282,1437639079,-0.0124071,0.0021395,-4.78538e-05,0.08,0.0,0.0,0.0,-1.0
1437643138,1437642166,-0.012739,0.00286922,-1.03015e-05,0.08,0.0,0.0,0.0,-1.0
1437647186,1437646215,-0.0124742,0.00224408,-4.63953e-05,0.08,0.0,0.0,0.0,-1.0
1437650311,1437649095,-0.013141,0.00212818,5.63423e-07,0.08,0.0,0.0,0.0,-1.0
1437654246,1437653135,-0.01281,0.00140786,6.18394e-06,0.08,0.0,0.0,0.0,-1.0
1437657298,1437656089,-0.0133877,0.00254202,-5.8685e-05,0.08,0.0,0.0,0.0,-1.0
1437661255,1437660076,-0.0125048,0.00212714,1.04006e-05,0.08,0.0,0.0,0.0,-1.0
1437664191,1437663105,-0.0132422,0.0023411,-4.42829e-05,0.08,0.0,0.0,0.0,-1.0
1437668172,1437667194,-0.0123694,0.00146133,1.79175e-05,0.08,0.0,0.0,0.0,-1.0
1437669273,1437668079,-0.0123385,0.00160065,1.24193e-05,0.08,0.0,0.0,0.0,-1.0
1437678166,1437677122,-0.0129812,0.00200842,-3.8898e-05,0.08,0.0,0.0,0.0,-1.0
1437687174,1437686124,-0.0131727,0.00225345,-8.46477e-05,0.08,0.0,0.0,0.0,-1.0
1437691250,1437690094,-0.0125655,0.00196583,-2.20361e-05,0.08,0.0,0.0,0.0,-1.0
1437696276,1437695187,-0.0127857,0.00215175,-4.28403e-05,0.08,0.0,0.0,0.0,-1.0
1437699172,1437698260,-0.0128847,0.00203284,-6.34673e-05,0.08,0.0,0.0,0.0,-1.0
1437703206,1437702125,-0.0129637,0.00239401,-2.8068e-05,0.08,0.0,0.0,0.0,-1.0
1437706186,1437705087,-0.0128973,0.00219623,-3.68413e-05,0.08,0.0,0.0,0.0,-1.0
