timestamp,roll,pitch,yaw,thrust
1437804215,0.0,0.0,1.02228e-08,0.08
1437807266,0.0,0.0,1.02228e-08,0.08
1437811219,0.0,0.0,1.02228e-08,0.08
1437815145,0.0,0.0,1.02228e-08,0.08
1437818171,0.0,0.0,1.02228e-08,0.08
1437822172,0.0,0.0,1.02228e-08,0.08
1437825191,0.0,0.0,1.02228e-08,0.08
1437829245,0.0,0.0,1.02228e-08,0.08
1437832394,0.0,0.0,1.02228e-08,0.08
1437836176,0.0,0.0,1.02228e-08,0.08
1437839218,0.0,0.0,1.02228e-08,0.08
1437842149,0.0,0.0,1.02228e-08,0.08
1437844279,0.0,0.0,1.02228e-08,0.08
1437850211,0.0,0.0,1.02228e-08,0.08
1437853189,0.0,0.0,1.02228e-08,0.08
1437857262,0.0,0.0,1.02228e-08,0.08
1437860183,0.0,0.0,1.02228e-08,0.08
1437864184,0.0,0.0,1.02228e-08,0.08
1437867201,0.0,0.0,1.02228e-08,0.08
1437871182,0.0,0.0,1.02228e-08,0.08
1437874206,0.0,0.0,1.02228e-08,0.08
1437878277,0.0,0.0,1.02228e-08,0.08
1437881209,0.0,0.0,1.02228e-08,0.08
1437885156,0.0,0.0,1.02228e-08,0.08
1437888140,0.0,0.0,1.02228e-08,0.08
1437892135,0.0,0.0,1.02228e-08,0.08
1437895190,0.0,0.0,1.02228e-08,0.08
1437899203,0.0,0.0,1.02228e-08,0.08
1437902347,0.0,0.0,1.02228e-08,0.08
1437906157,0.0,0.0,1.02228e-08,0.08
1437909259,0.0,0.0,1.02228e-08,0.08
1437913215,0.0,0.0,1.02228e-08,0.08
1437916198,0.0,0.0,1.02228e-08,0.08
1437920185,0.0,0.0,1.02228e-08,0.08
1437923208,0.0,0.0,1.02228e-08,0.08
1437926147,0.0,0.0,1.02228e-08,0.08
1437930172,0.0,0.0,1.02228e-08,0.08
1437934289,0.0,0.0,1.02228e-08,0.08
1437937232,0.0,0.0,1.02228e-08,0.08
1437941190,0.0,0.0,1.02228e-08,0.08
1437944300,0.0,0.0,1.02228e-08,0.08
1437948197,0.0,0.0,1.02228e-08,0.08
1437951159,0.0,0.0,1.02228e-08,0.08
1437955238,0.0,0.0,1.02228e-08,0.08
1437958287,0.0,0.0,1.02228e-08,0.08
1437962183,0.0,0.0,1.02228e-08,0.08
1437965104,0.0,0.0,1.02228e-08,0.08
