timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1437647099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00869375,0.00308638,0.459792,0.0,0.0,0.0,0.0,-0.00151064,0.00170357,0.0081589,0.0,0.0,0.0,0.0,0,0
1437668079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.0086797,0.00309999,0.459792,0.0,0.0,0.0,0.0,-0.00497861,0.00571003,0.000648542,0.0,0.0,0.0,0.0,0,0
1437687091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00867,0.00309993,0.4598,0.0,0.0,0.0,0.0,0.00125357,0.00236711,0.00477199,0.0,0.0,0.0,0.0,0,0
1437710128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887974,0.0086521,0.00310196,0.459803,0.0,0.0,0.0,0.0,-0.00384554,0.000689958,0.00297491,0.0,0.0,0.0,0.0,0,0
1437731157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00864006,0.00309204,0.459792,0.0,0.0,0.0,0.0,5.7674e-05,-0.00119027,-0.0010562,0.0,0.0,0.0,0.0,0,0
1437752068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887978,0.00861694,0.00308396,0.459794,0.0,0.0,0.0,0.0,0.000863231,0.00776323,0.00400257,0.0,0.0,0.0,0.0,0,0
1437773175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.00859269,0.00308862,0.4598,0.0,0.0,0.0,0.0,0.00145772,0.00427679,0.00498912,0.0,0.0,0.0,0.0,0,0
1437793181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887976,0.00857175,0.00309078,0.4598,0.0,0.0,0.0,0.0,0.00237813,0.00206644,0.00510202,0.0,0.0,0.0,0.0,0,0
1437815091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887971,0.00854165,0.00309514,0.45981,0.0,0.0,0.0,0.0,0.00126007,0.000997524,0.0049051,0.0,0.0,0.0,0.0,0,0
1437836130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.00852265,0.0031029,0.459805,0.0,0.0,0.0,0.0,0.00137904,-0.000325328,0.00477701,0.0,0.0,0.0,0.0,0,0
1437857209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.00851491,0.00308269,0.459807,0.0,0.0,0.0,0.0,0.00580556,-0.00233346,0.00897734,0.0,0.0,0.0,0.0,0,0
1437878223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887972,0.00848478,0.00310033,0.459809,0.0,0.0,0.0,0.0,0.00522077,0.00648195,0.0050019,0.0,0.0,0.0,0.0,0,0
1437899146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887975,0.0084693,0.00308732,0.459803,0.0,0.0,0.0,0.0,0.00619866,-0.00412114,0.00464924,0.0,0.0,0.0,0.0,0,0
1437920134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.00844625,0.00307041,0.459808,0.0,0.0,0.0,0.0,0.00329689,-0.00332057,0.00354171,0.0,0.0,0.0,0.0,0,0
1437941126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.00843263,0.00307294,0.459809,0.0,0.0,0.0,0.0,0.00197259,-0.00180502,0.00934394,0.0,0.0,0.0,0.0,0,0
1437961142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887973,0.00842388,0.0030597,0.459808,0.0,0.0,0.0,0.0,0.000154375,-0.000362522,0.00205815,0.0,0.0,0.0,0.0,0,0
1437983099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887977,0.00840456,0.00304836,0.459801,0.0,0.0,0.0,0.0,0.00191032,-0.00447161,0.00613249,0.0,0.0,0.0,0.0,0,0
1438003235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00839114,0.00304535,0.459797,0.0,0.0,0.0,0.0,0.00457583,0.00167322,0.00243792,0.0,0.0,0.0,0.0,0,0
1438024166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88798,0.00836316,0.00304207,0.459796,0.0,0.0,0.0,0.0,0.00121801,-0.00191624,0.00114987,0.0,0.0,0.0,0.0,0,0
1438045173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88798,0.00834337,0.00304628,0.459797,0.0,0.0,0.0,0.0,-0.00107968,0.00337582,0.00426406,0.0,0.0,0.0,0.0,0,0
1438067129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88798,0.00832158,0.00305998,0.459797,0.0,0.0,0.0,0.0,-0.0064692,0.0013619,0.003714,0.0,0.0,0.0,0.0,0,0
