timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1438941087,0,0.0,0.0,0,-8.48001,-11.6493,1.68045,0.0,0.0,0.0,-0.00925014,-0.000269039,0.0543764,0.0,0.0,0.0,0.0,0.0,0.0,0.955644,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438946086,0,0.0,0.0,0,-8.48003,-11.6493,1.68072,0.0,0.0,0.0,-0.00388498,-0.00151907,0.0539414,0.0,0.0,0.0,0.0,0.0,0.0,0.955608,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438951202,0,0.0,0.0,0,-8.48008,-11.6493,1.68099,0.0,0.0,0.0,-0.0100229,-0.00100849,0.0536093,0.0,0.0,0.0,0.0,0.0,0.0,0.955638,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438956122,0,0.0,0.0,0,-8.4801,-11.6493,1.68125,0.0,0.0,0.0,-0.0033621,-0.00221157,0.0527843,0.0,0.0,0.0,0.0,0.0,0.0,0.955649,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438961077,0,0.0,0.0,0,-8.48015,-11.6493,1.68153,0.0,0.0,0.0,-0.00946629,-0.00157465,0.0563486,0.0,0.0,0.0,0.0,0.0,0.0,0.955617,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438966182,0,0.0,0.0,0,-8.48018,-11.6493,1.68183,0.0,0.0,0.0,-0.0053946,-0.00105723,0.059545,0.0,0.0,0.0,0.0,0.0,0.0,0.955649,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438971558,0,0.0,0.0,0,-8.48022,-11.6493,1.68213,0.0,0.0,0.0,-0.00874235,0.000619278,0.060162,0.0,0.0,0.0,0.0,0.0,0.0,0.955645,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438976281,0,0.0,0.0,0,-8.48025,-11.6493,1.68247,0.0,0.0,0.0,-0.00550692,6.44995e-05,0.0676179,0.0,0.0,0.0,0.0,0.0,0.0,0.955664,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438981319,0,0.0,0.0,0,-8.48028,-11.6493,1.6828,0.0,0.0,0.0,-0.00617617,0.000601019,0.064656,0.0,0.0,0.0,0.0,0.0,0.0,0.955563,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1438986208,0,0.0,0.0,0,-8.48033,-11.6493,1.68314,0.0,0.0,0.0,-0.00958281,0.00161616,0.0692019,0.0,0.0,0.0,0.0,0.0,0.0,0.955644,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
