timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1442434216,4,-0.923871,-0.596129,-1.0,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442481159,4,-0.935622,-0.6773,-1.0,-0.612922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442539189,4,-0.998518,-0.610663,-0.908859,-0.706249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442592241,4,-0.670734,-0.951999,-0.619901,-0.999056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442644166,4,-0.910473,-0.773347,-0.882539,-0.793642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442696145,4,-0.929506,-0.590494,-1.0,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442749142,4,-0.649643,-1.0,-0.751551,-0.898092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442802349,4,-0.925611,-0.594389,-1.0,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442854201,4,-0.812239,-0.868027,-0.743659,-0.936075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442906210,4,-0.727827,-0.953753,-0.683661,-0.994759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442959300,4,-0.958367,-0.566019,-0.997807,-0.517807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443012141,4,-0.858148,-0.827105,-0.943378,-0.731369,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443064339,4,-0.903928,-0.620225,-0.997924,-0.517924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443117218,4,-0.653778,-1.0,-0.807267,-0.846511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443169198,4,-0.92,-0.767078,-0.864899,-0.808023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443221192,4,-1.0,-0.52,-0.893109,-0.626891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1443273168,4,-0.733183,-0.962206,-0.696189,-0.968422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
