timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1456283432,-8.9153,-12.0164,0.527884,0.981236,0.0588512,-0.104059,1.0,0.0414805,-0.112375,-2.71661
1456293600,-8.9153,-12.0164,0.529516,0.981236,0.0589867,-0.104551,1.0,0.0473268,-0.116411,-2.72272
1456303773,-8.9153,-12.0164,0.531112,0.981236,0.0591564,-0.105053,1.0,0.05315,-0.119724,-2.72157
1456313940,-8.9153,-12.0164,0.532763,0.981236,0.0594177,-0.105633,1.0,0.0625193,-0.126955,-2.72463
1456324101,-8.9153,-12.0164,0.532417,0.981236,0.059721,-0.102686,1.0,0.0742985,-0.127453,-2.70862
1456334370,-8.9153,-12.0164,0.533958,0.981236,0.0599442,-0.103149,1.0,0.0658576,-0.117712,-2.69517
1456344549,-8.9153,-12.0164,0.535505,0.981236,0.0600986,-0.103546,1.0,0.0517961,-0.105817,-2.70261
1456354711,-8.9153,-12.0164,0.537091,0.981236,0.0601616,-0.103889,1.0,0.0431231,-0.101128,-2.70927
1456364882,-8.9153,-12.0164,0.538744,0.981236,0.0602474,-0.104229,1.0,0.0439631,-0.0991967,-2.72367
1456375040,-8.9153,-12.0164,0.540385,0.981236,0.060297,-0.10453,1.0,0.0409737,-0.0965096,-2.72324
1456385211,-8.9153,-12.0164,0.542076,0.981236,0.0603695,-0.104851,1.0,0.0419584,-0.0968747,-2.73051
1456395479,-8.9153,-12.0164,0.543701,0.981236,0.0604706,-0.105196,1.0,0.0457524,-0.100327,-2.71677
1456405643,-8.9153,-12.0164,0.546194,0.981236,0.06077,-0.105791,1.0,0.0563042,-0.107759,-2.7152
1456415796,-8.9153,-12.0164,0.547808,0.981236,0.0609741,-0.106201,1.0,0.0597798,-0.109035,-2.72004
1456425948,-8.9153,-12.0164,0.549474,0.981236,0.0610371,-0.106529,1.0,0.0443235,-0.101643,-2.71773
1456436089,-8.9153,-12.0164,0.548644,0.981236,0.0625381,-0.107403,1.0,0.0306966,-0.0936998,-2.70749
1456446415,-8.9153,-12.0164,0.550185,0.981236,0.0623894,-0.107635,1.0,0.0196597,-0.0901575,-2.68679
1456456592,-8.9153,-12.0164,0.55174,0.981236,0.062233,-0.107895,1.0,0.0159799,-0.0907204,-2.6942
1456466751,-8.9153,-12.0164,0.55328,0.981236,0.0620728,-0.108162,1.0,0.0165473,-0.0944631,-2.69272
1456476914,-8.9153,-12.0164,0.55487,0.981236,0.061924,-0.108469,1.0,0.0165281,-0.0975265,-2.6966
1456487068,-8.9153,-12.0164,0.556482,0.981236,0.0617943,-0.108795,1.0,0.0182937,-0.100862,-2.7093
1456497288,-8.9153,-12.0164,0.558158,0.981236,0.0616226,-0.109125,1.0,0.0153097,-0.101491,-2.71439
1456507492,-8.9153,-12.0164,0.559896,0.981236,0.0614128,-0.109425,1.0,0.00971866,-0.0984215,-2.73158
1456517663,-8.9153,-12.0164,0.561014,0.981236,0.0637226,-0.108273,1.0,0.00937631,-0.0931031,-2.73193
1456527829,-8.9153,-12.0164,0.562809,0.981236,0.0634956,-0.108494,1.0,0.00819787,-0.089205,-2.74195
1456537999,-8.9153,-12.0164,0.564573,0.981236,0.0632038,-0.108717,1.0,0.0027517,-0.0889836,-2.74366
1456548223,-8.9153,-12.0164,0.566441,0.981236,0.0628986,-0.10891,1.0,-0.00150327,-0.0866757,-2.75365
1456558450,-8.9153,-12.0164,0.568273,0.981236,0.0625668,-0.10914,1.0,-0.00235716,-0.0889163,-2.75526
1456568599,-8.9153,-12.0164,0.570213,0.981236,0.0622826,-0.109373,1.0,-0.00117208,-0.0906469,-2.77019
1456578764,-8.9153,-12.0164,0.572113,0.981236,0.0619812,-0.109632,1.0,-0.000599502,-0.0926756,-2.77569
1456588937,-8.9153,-12.0164,0.574083,0.981236,0.0616703,-0.10988,1.0,-0.00193851,-0.0934888,-2.77754
