timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
990414644,0,0.0,0.0,0,-5.35993,1.04795,1.43484,0.0,0.0,0.0,-0.017478,0.0080847,-0.00263238,0.0,0.0,0.0,0.0,0.0,0.0,0.115965,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990419688,0,0.0,0.0,0,-5.36002,1.04799,1.43483,0.0,0.0,0.0,-0.0180448,0.00834654,-0.00273712,0.0,0.0,0.0,0.0,0.0,0.0,0.115962,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990424624,0,0.0,0.0,0,-5.36011,1.04803,1.43482,0.0,0.0,0.0,-0.0186613,0.00861253,-0.00291985,0.0,0.0,0.0,0.0,0.0,0.0,0.115962,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990429681,0,0.0,0.0,0,-5.36021,1.04807,1.4348,0.0,0.0,0.0,-0.019221,0.00877674,-0.00311718,0.0,0.0,0.0,0.0,0.0,0.0,0.115964,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990434659,0,0.0,0.0,0,-5.36031,1.04812,1.43478,0.0,0.0,0.0,-0.0197353,0.00896195,-0.00334768,0.0,0.0,0.0,0.0,0.0,0.0,0.115969,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990439650,0,0.0,0.0,0,-5.36041,1.04816,1.43477,0.0,0.0,0.0,-0.0203315,0.00915187,-0.00367513,0.0,0.0,0.0,0.0,0.0,0.0,0.115973,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990444714,0,0.0,0.0,0,-5.36051,1.04821,1.43475,0.0,0.0,0.0,-0.0209002,0.00935527,-0.00391665,0.0,0.0,0.0,0.0,0.0,0.0,0.115976,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990449671,0,0.0,0.0,0,-5.36062,1.04826,1.43473,0.0,0.0,0.0,-0.0214868,0.00954597,-0.00409428,0.0,0.0,0.0,0.0,0.0,0.0,0.115978,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990454690,0,0.0,0.0,0,-5.36073,1.04831,1.4347,0.0,0.0,0.0,-0.0220966,0.00976253,-0.00424825,0.0,0.0,0.0,0.0,0.0,0.0,0.115977,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990459680,0,0.0,0.0,0,-5.36085,1.04836,1.43468,0.0,0.0,0.0,-0.0226957,0.00989196,-0.00440814,0.0,0.0,0.0,0.0,0.0,0.0,0.11598,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
